Variable	Variable2
Emissions|PFC	Emi_PFC
Forcing	Frc
Forcing|Aerosol	Frc_Aer
Forcing|CH4	Frc_CH4
Forcing|CO2	Frc_CO2
Forcing|F-Gases	Frc_F_G
Forcing|Kyoto Gases	Frc_Kyo_Gas
Forcing|N2O	Frc_N2O
Forcing|Tropospheric Ozone	Frc_Tro_Ozo
Temperature|Global Mean	Tem_Glo_Mea
Agricultural Demand	Agr_Dem
Agricultural Demand|Crops|Feed	Agr_Dem_Cro_Fee
Agricultural Demand|Crops|Food	Agr_Dem_Cro_Foo
Agricultural Demand|Crops|Other	Agr_Dem_Cro_Oth
Agricultural Demand|Livestock|Food	Agr_Dem_Liv_Foo
Agricultural Demand|Livestock|Other	Agr_Dem_Liv_Oth
Agricultural Production	Agr_Pro
Capacity|Electricity	Cap_Ele
Capacity|Electricity|Oil	Cap_Ele_Oil
Cumulative Capacity|Electricity|Biomass	Cum_Cap_Ele_Bio
Cumulative Capacity|Electricity|Biomass|w/ CCS	Cum_Cap_Ele_Bio_w_CCS
Cumulative Capacity|Electricity|Coal	Cum_Cap_Ele_Coa
Cumulative Capacity|Electricity|Coal|w/ CCS	Cum_Cap_Ele_Coa_w_CCS
Cumulative Capacity|Electricity|Coal|w/o CCS	Cum_Cap_Ele_Coa_wo_CCS
Cumulative Capacity|Electricity|Gas	Cum_Cap_Ele_Gas
Cumulative Capacity|Electricity|Gas|w/ CCS	Cum_Cap_Ele_Gas_w_CCS
Cumulative Capacity|Electricity|Gas|w/o CCS	Cum_Cap_Ele_Gas_wo_CCS
Cumulative Capacity|Electricity|Nuclear	Cum_Cap_Ele_Nuc
Cumulative Capacity|Electricity|Oil	Cum_Cap_Ele_Oil
Cumulative Capacity|Electricity|Solar	Cum_Cap_Ele_Solar
Cumulative Capacity|Electricity|Solar|PV	Cum_Cap_Ele_SolarPV
Emissions|BC|AFOLU	Emi_BC_AFO
Emissions|BC|Energy	Emi_BC_Ene
Emissions|BC|Energy|Demand|Industry	Emi_BC_Ene_Dem_Ind
Emissions|BC|Energy|Demand|Transportation	Emi_BC_Ene_Dem_Tra
Emissions|BC|Energy|Supply	Emi_BC_Ene_Sup
Emissions|CH4|Energy	Emi_CH4_Ene
Emissions|CO2|Energy	Emi_CO2_Ene
Emissions|CO2|Energy|Supply|Other Sector	Emi_CO2_Ene_Sup_Oth_Sec
Emissions|CO2|Industrial Processes	Emi_CO2_Ind_Pro
Emissions|CO|AFOLU	Emi_CO_AFO
Emissions|CO|Energy	Emi_CO_Ene
Emissions|CO|Energy|Demand|Industry	Emi_CO_Ene_Dem_Ind
Emissions|CO|Energy|Demand|Transportation	Emi_CO_Ene_Dem_Tra
Emissions|CO|Energy|Supply	Emi_CO_Ene_Sup
Emissions|Kyoto Gases	Emi_Kyo_Gas
Emissions|N2O|Energy	Emi_N2O_Ene
Emissions|N2O|Other	Emi_N2O_Oth
Emissions|NH3|AFOLU	Emi_NH3_AFO
Emissions|NH3|Energy	Emi_NH3_Ene
Emissions|NH3|Energy|Demand|Industry	Emi_NH3_Ene_Dem_Ind
Emissions|NH3|Energy|Demand|Transportation	Emi_NH3_Ene_Dem_Tra
Emissions|NH3|Energy|Supply	Emi_NH3_Ene_Sup
Emissions|NOx|AFOLU	Emi_NOx_AFO
Emissions|NOx|Energy	Emi_NOx_Ene
Emissions|NOx|Energy|Demand|Industry	Emi_NOx_Ene_Dem_Ind
Emissions|NOx|Energy|Demand|Transportation	Emi_NOx_Ene_Dem_Tra
Emissions|NOx|Energy|Supply	Emi_NOx_Ene_Sup
